id,language,category,question,answer
1,ko,반품/환불,구매한 제품을 반품하고 싶은데 절차가 어떻게 되나요?,"제품 수령 후 14일 이내에 마이페이지 > 주문내역에서 반품 신청을 하시면 됩니다. 제품은 미개봉 또는 사용 흔적이 없는 상태여야 하며, 반품 배송비는 단순 변심의 경우 고객 부담입니다. 반품이 승인되면 3~5영업일 이내 환불이 완료됩니다."
2,ko,반품/환불,해외에서 구매한 제품도 반품이 가능한가요?,"네, 해외 배송 주문도 반품이 가능합니다. 다만 국제 반송 배송비는 고객이 부담하며, 통관 절차로 인해 국내 반품보다 처리 기간이 7~14일 더 소요될 수 있습니다."
3,ko,보증/AS,제품 보증 기간은 얼마나 되나요?,"모든 노바텍(NovaTech) 정품은 구매일로부터 1년간 무상 보증이 제공됩니다. 배터리 등 소모품은 보증 기간이 6개월로 별도 적용됩니다. 보증서 또는 구매 영수증을 지참하시면 가까운 서비스센터에서 수리 접수가 가능합니다."
4,ko,보증/AS,해외에서 구매한 제품도 한국 AS센터에서 수리가 가능한가요?,"국가별로 유통 리전이 다르기 때문에 해외 리전 제품은 한국 AS센터에서 수리가 제한될 수 있습니다. 구매하신 국가의 공식 서비스센터를 이용하시거나, 고객센터로 시리얼 번호를 문의하시면 가능 여부를 안내해 드립니다."
5,ko,배송,해외 배송은 어떤 국가로 가능한가요?,"미국, 일본, 중국, 대만, 베트남, 독일 등 총 32개국으로 배송이 가능합니다. 배송 가능 국가 목록은 결제 페이지에서 실시간으로 확인하실 수 있습니다."
6,ko,배송,해외 배송 시 관세는 누가 부담하나요?,"관세 및 부가세는 수령하시는 국가의 기준에 따라 수령인이 부담하는 것이 원칙입니다. 일부 국가는 무관세 한도가 있으므로 통관 규정을 사전에 확인하시길 권장드립니다."
7,ko,제품 사용,블루투스 이어폰이 스마트폰과 페어링이 안 됩니다.,"이어폰 케이스에서 양쪽 이어버드를 꺼낸 상태에서 버튼을 5초간 길게 눌러 LED가 파란색과 흰색으로 번갈아 깜빡이는지 확인해 주세요. 이후 스마트폰 블루투스 설정에서 기존 페어링 기록을 삭제하고 다시 검색하면 대부분 해결됩니다."
8,ko,제품 사용,공기청정기 필터 교체 주기는 얼마나 되나요?,"일반 가정 기준으로 3~6개월마다 교체를 권장합니다. 반려동물이 있거나 미세먼지가 심한 지역은 2~3개월마다 교체하시는 것이 좋습니다. 필터 교체 알림 기능이 있는 모델은 앱에서 잔여 수명을 확인할 수 있습니다."
9,ko,계정/결제,비밀번호를 잊어버렸어요.,로그인 화면의 '비밀번호 찾기'를 클릭 후 가입하신 이메일로 재설정 링크를 받아 진행하실 수 있습니다. 링크는 발급 후 30분간 유효합니다.
10,ko,계정/결제,해외 결제 시 사용 가능한 통화는 무엇인가요?,"USD, JPY, CNY, EUR 결제를 지원하며, 결제 시점의 환율에 따라 원화 기준 청구 금액이 안내됩니다. 카드사 해외 결제 수수료가 별도로 부과될 수 있습니다."
11,en,Returns/Refunds,How do I return a product I purchased?,"You can request a return within 14 days of receiving the product via My Page > Order History. The item must be unopened or show no signs of use. Return shipping is at the customer's expense for simple change-of-mind returns. Refunds are processed within 3-5 business days after approval."
12,en,Returns/Refunds,Can I return a product I bought internationally?,"Yes, international orders can be returned. However, the customer is responsible for international return shipping costs, and processing may take an additional 7-14 days due to customs clearance."
